Email,Domain,Risk Score,Verdict,Scan Time
jalmodi956@gmail.com,gmail.com,0,safe,28-06-2619:13:37
jalmodi956@gmail.com,gmail.com,0,safe,28-06-2619:24:07
jalmodi956@gmail.com,gmail.com,0,safe,28-06-2620:25:31
jalmodi956@gmail.com,gmail.com,0,safe,28-06-2620:44:31
jalmodi956@gamil.com,gamil.com,110,phishing,28-06-2622:02:16
jalmodi956@gamil.com,gamil.com,110,phishing,28-06-2622:10:20
jalmodi956@gmail.com,gmail.com,0,safe,28-06-2623:41:46
jalmodi956@gamil.com,gamil.com,50,suspicious,29-06-2609:58:45
jalmodi956@gmail.com,gmail.com,60,suspicious,29-06-2611:18:56
jalmodi956@gmail.com,gmail.com,60,suspicious,29-06-2611:58:40
jalmodi956@gmail.com,gmail.com,60,suspicious,29-06-2614:29:12
jalmodi956@gamil.com,gamil.com,90,phishing,29-06-2614:42:50
jalmodi956@gamil.com,gamil.com,60,suspicious,29-06-2614:44:17
jalmodi956@gamil.com,gamil.com,60,suspicious,29-06-2614:48:03
jalmodi956@gamil.com,gamil.com,30,safe,29-06-2617:13:35
jalmodi956@gamil.com,gamil.com,50,suspicious,29-06-2617:15:55
jalmodi956@gamil.com,gamil.com,30,safe,29-06-2618:31:01
jalmodi956@gmail.com,gmail.com,60,suspicious,29-06-2619:22:22
jalmodi956@gmail.com,gmail.com,80,phishing,29-06-2621:35:32
jalmodi956@gmail.com,gmail.com,80,phishing,30-06-2609:17:04
madar chode 964@gmail.com,gmail.com,0,safe,30-06-2622:04:59
jalmodi360@gmail.com,gmail.com,40,suspicious,03-07-2622:16:49
jalmodi956@gmail.com,gmail.com,0,safe,08-07-2615:46:40
jalmodi956@gmail.com,gmail.com,60,suspicious,08-07-2615:59:11
jalmodi956@gmail.com,gmail.com,0,safe,09-07-2026 12:07:10
jalmodi956@gmail.com,gmail.com,0,safe,09-07-2026 12:10:39
security@paypa1.com,paypa1.com,100,phishing,09-07-2026 12:12:06
security@paypa1.com,paypa1.com,100,phishing,09-07-2026 12:14:12
support@gmail.com,gmail.com,0,safe,09-07-2026 12:21:51
security@paypa1.com,paypa1.com,100,phishing,09-07-2026 12:25:18
support@gmail.com,gmail.com,80,phishing,09-07-2026 12:29:34
support@gmail.com,gmail.com,80,phishing,09-07-2026 12:30:16
jalmodi123@,,100,phishing,09-07-2026 12:32:57
security@paypa1.com,paypa1.com,100,phishing,09-07-2026 12:36:00
security@paypa1.com,paypa1.com,100,phishing,09-07-2026 12:47:26
security@paypa1.com,paypa1.com,100,phishing,09-07-2026 13:45:46
rajeshpatel956@gmail.com,gmail.com,0,safe,09-07-2026 14:05:22
security@paypa1.com,paypa1.com,100,phishing,09-07-2026 14:06:46
jalmodi123@,,100,phishing,09-07-2026 14:09:12
jalmodi956@gmail.com,gmail.com,30,safe,09-07-2026 14:09:31
support@gmail.com,gmail.com,0,safe,09-07-2026 14:10:47
support@gmail.com,gmail.com,30,safe,09-07-2026 14:12:13
support@gmaill.com,gmaill.com,60,suspicious,09-07-2026 14:16:38
support@gmaill.com,gmaill.com,60,suspicious,09-07-2026 14:21:51
